feature,mi_score
poly_MonthlyCharges_base_risk_score,0.13435392554286185
clv_at_risk,0.12903698688826548
advanced_risk_score,0.12750755340071596
poly_base_risk_score_charge_per_service,0.12080663030794425
base_risk_score,0.10011066826313586
contract_risk_score,0.09713852466872885
is_month_to_month,0.09304459464383918
poly_MonthlyCharges_charge_per_service,0.09009494511758653
poly_tenure_base_risk_score,0.08393484825348851
monthly_to_total_ratio,0.08336878364403777
actual_vs_expected_clv,0.08285065414198445
charge_per_service,0.0826512326595914
charge_trend,0.08046118959864912
tenure_squared,0.07896610688645289
tenure,0.07444298396627969
contract_age_ratio,0.07361831312434908
tenure_log,0.06765687320975156
charge_to_monthly_ratio,0.06708430962443335
services_per_dollar,0.06487479591786904
is_two_year,0.06474679665997929
poly_tenure_service_adoption_score,0.06419294793774322
poly_tenure_charge_per_service,0.06179080662154868
months_remaining_1yr,0.060571673345014565
months_remaining_2yr,0.0578912427809517
fiber_no_support,0.055673409572869925
poly_tenure_MonthlyCharges,0.051436977759269364
is_new_customer,0.0471349601159059
monthly_charge_percentile,0.046773483887492695
poly_service_adoption_score_base_risk_score,0.046096558804959775
expected_lifetime_value,0.045675376904711795
poly_MonthlyCharges_service_adoption_score,0.04510634844091421
total_charge_percentile,0.04434847954201393
TotalCharges,0.04355258221191338
MonthlyCharges,0.043235515920707845
fiber_no_security,0.0420897242066578
is_early_customer,0.041731212175228016
has_fiber,0.040704810156027005
charge_per_month,0.03820073780910227
uses_electronic,0.03796074454009646
paperless_no_auto,0.036789860111654304
is_veteran_customer,0.035777488157647586
is_loyal_customer,0.03286094290946995
poly_service_adoption_score_charge_per_service,0.03165372699728208
no_internet,0.03136106367602798
is_low_charger,0.028441209683415014
senior_month_to_month,0.028003404680894572
service_adoption_pct,0.027570885562788305
has_partner,0.02512016244787918
has_auto_pay,0.023076947045771234
is_one_year,0.02224675757836092
Partner,0.021008144030705056
young_family,0.01942623032155777
service_adoption_score,0.0188296811324411
PaperlessBilling,0.017827838060273882
TechSupport,0.01734759858009305
senior_alone,0.015012389427939032
revenue_efficiency,0.014422260581658186
has_family,0.014273990557724714
trend_switch_carrier,0.013227936310478583
OnlineSecurity,0.012743115075805278
charge_above_median,0.012388098231034705
SeniorCitizen,0.01175401191483294
is_senior,0.01099262272166901
has_dependents,0.01075063495065276
is_single_service,0.010179617549251674
Dependents,0.009093376406888343
security_bundle,0.008769262995948157
DeviceProtection,0.008084674024368299
uses_mailed_check,0.007802438542890755
support_bundle,0.006921908410290056
macro_consumer_pressure,0.006123599470786445
trend_churn_velocity,0.0057674100157460995
StreamingTV,0.005468039999665608
has_entertainment,0.005408223445778182
macro_gni_per_capita,0.005350218443529453
entertainment_bundle,0.0046504864207321805
is_high_charger,0.003764720111938624
OnlineBackup,0.003555035387000638
macro_stress_index,0.0027672303206958127
fiber_high_charge,0.0021514747653890165
StreamingMovies,0.0019369249362937158
macro_gdp_growth,0.0017440128818575484
PhoneService,0.001459164592570561
has_dsl,0.0006889559708651571
macro_telecom_sector,0.00048076799976626283
is_full_service,0.0
has_any_security,0.0
macro_inflation,0.0
trend_churn_intent,0.0
macro_unemployment,0.0
